product_id,product_name,merchant,item_type,category,price_min,price_max
1,MamyPoko Pants X-Tra Kering S-40,Modern Retail,Needs,Baby Care,52000,60000
2,MamyPoko Pants X-Tra Kering M-34,Modern Retail,Needs,Baby Care,52000,60000
3,MamyPoko Pants X-Tra Kering L-30,Modern Retail,Needs,Baby Care,52000,60000
4,MamyPoko Pants X-Tra Kering XL-26,Modern Retail,Needs,Baby Care,52000,60000
5,MamyPoko Pants X-Tra Kering XXL-24,Modern Retail,Needs,Baby Care,52000,60000
6,Sweety Silver Pants M-30,Modern Retail,Needs,Baby Care,48000,55000
7,Sweety Silver Pants L-28,Modern Retail,Needs,Baby Care,48000,55000
8,Merries Pants Good Skin M-34,Kao Official,Needs,Baby Care,55000,65000
9,Makuku Air Diapers Comfort Fit M-32,Modern Retail,Needs,Baby Care,50000,60000
10,Baby Happy Body Fit Pants M-34,Wings Official,Needs,Baby Care,45000,52000
11,Baby Happy Body Fit Pants L-30,Wings Official,Needs,Baby Care,45000,52000
12,Fitti Pants M-32,Modern Retail,Needs,Baby Care,45000,50000
13,Mitu Baby Wipes Ganti Popok 50 Sheets ,Modern Retail,Needs,Baby Care,14000,18000
14,Cussons Baby Wipes Fresh & Nourish 50s,Modern Retail,Needs,Baby Care,15000,19000
15,Promina Puffs Blueberry 15g,Modern Retail,Wants,Baby Care,28000,35000
16,Promina Puffs Strawberry 15g,Modern Retail,Wants,Baby Care,28000,35000
17,Promina Puffs Sweet Potato 15g,Modern Retail,Wants,Baby Care,28000,35000
18,Promina Puffs Pisang 15g,Modern Retail,Wants,Baby Care,28000,35000
19,Promina Baby Crunchies Keju Cheddar 20g,Modern Retail,Wants,Baby Care,12000,16000
20,Promina Baby Crunchies Krim Ayam Brokoli 20g,Modern Retail,Wants,Baby Care,12000,16000
21,Promina Baby Crunchies Rumput Laut 20g,Modern Retail,Wants,Baby Care,12000,16000
22,Promina Biskuit Rusk Beras Merah 130g,Modern Retail,Wants,Baby Care,18000,24000
23,Promina Biskuit Rusk Kacang Hijau 130g,Modern Retail,Wants,Baby Care,18000,24000
24,Promina Biskuit Arrowroot Susu 110g,Modern Retail,Wants,Baby Care,15000,20000
25,Promina Silky Pudding Coklat 100g,Modern Retail,Wants,Baby Care,13000,17000
26,Promina Silky Pudding Strawberry 100g,Modern Retail,Wants,Baby Care,13000,17000
27,Promina Sup Mi Daging Sayur 84g,Modern Retail,Needs,Baby Care,14000,18000
28,Promina Sup Mi Ayam Sayur 84g,Modern Retail,Needs,Baby Care,14000,18000
29,Milna Nature Puffs Organic Cheese 15g,Modern Retail,Wants,Baby Care,30000,38000
